CM,TRI,CY,FAM,WOM,PR,SR,FR,TR,PU,PEOU,ITU,PUFR,PUSR,PUPR,PEOUFR,PEOUSR,PEOUPR
4.67 ,4.00 ,5.00 ,4.00 ,4.00 ,5.00 ,5.00 ,2.33 ,5.00 ,5.00 ,5.00 ,5.00 ,11.67 ,25.00 ,25.00 ,11.67 ,25.00 ,25.00 
5.00 ,5.00 ,4.00 ,4.00 ,3.67 ,3.00 ,3.75 ,2.67 ,3.75 ,4.00 ,4.00 ,5.00 ,10.67 ,15.00 ,12.00 ,10.67 ,15.00 ,12.00 
4.00 ,3.75 ,3.00 ,4.00 ,2.33 ,4.00 ,3.25 ,2.67 ,3.25 ,3.00 ,4.00 ,4.00 ,10.67 ,9.75 ,12.00 ,10.67 ,13.00 ,16.00 
5.00 ,5.00 ,3.00 ,3.50 ,4.00 ,4.67 ,3.75 ,4.67 ,5.00 ,4.50 ,4.00 ,5.00 ,18.67 ,16.88 ,21.00 ,18.67 ,15.00 ,18.67 
2.33 ,3.00 ,4.25 ,3.50 ,1.67 ,5.00 ,3.25 ,2.67 ,3.00 ,4.00 ,3.25 ,4.00 ,8.67 ,13.00 ,20.00 ,8.67 ,10.56 ,16.25 
3.00 ,3.25 ,4.00 ,4.00 ,3.00 ,3.67 ,3.75 ,3.33 ,3.25 ,3.25 ,3.75 ,4.00 ,12.50 ,12.19 ,11.92 ,12.50 ,14.06 ,13.75 
5.00 ,5.00 ,3.75 ,4.00 ,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,3.25 ,5.00 ,16.25 ,22.50 ,25.00 ,16.25 ,14.63 ,16.25 
5.00 ,5.00 ,3.50 ,3.50 ,3.67 ,4.33 ,4.25 ,2.00 ,4.00 ,4.00 ,4.00 ,5.00 ,8.00 ,17.00 ,17.33 ,8.00 ,17.00 ,17.33 
4.00 ,4.75 ,3.75 ,3.00 ,4.00 ,5.00 ,4.25 ,3.67 ,3.25 ,4.00 ,3.75 ,4.00 ,13.75 ,17.00 ,20.00 ,13.75 ,15.94 ,18.75 
5.00 ,4.50 ,4.00 ,4.00 ,3.00 ,5.00 ,3.25 ,4.00 ,2.75 ,4.75 ,4.25 ,5.00 ,17.00 ,15.44 ,23.75 ,17.00 ,13.81 ,21.25 
3.67 ,5.00 ,5.00 ,5.00 ,5.00 ,3.67 ,4.50 ,4.33 ,5.00 ,5.00 ,5.00 ,5.00 ,21.67 ,22.50 ,18.33 ,21.67 ,22.50 ,18.33 
5.00 ,5.00 ,4.00 ,5.00 ,3.33 ,5.00 ,3.00 ,3.33 ,3.00 ,4.00 ,4.00 ,4.00 ,13.33 ,12.00 ,20.00 ,13.33 ,12.00 ,20.00 
3.67 ,3.75 ,4.00 ,3.50 ,2.00 ,5.00 ,4.75 ,3.00 ,4.00 ,4.25 ,4.00 ,5.00 ,12.00 ,20.19 ,21.25 ,12.00 ,19.00 ,20.00 
4.00 ,4.50 ,4.25 ,4.00 ,3.33 ,3.00 ,4.25 ,3.00 ,4.00 ,4.00 ,4.00 ,4.00 ,12.00 ,17.00 ,12.00 ,12.00 ,17.00 ,12.00 
3.00 ,3.00 ,2.75 ,4.00 ,4.00 ,5.00 ,2.50 ,4.00 ,1.75 ,4.00 ,3.50 ,5.00 ,14.00 ,10.00 ,20.00 ,14.00 ,8.75 ,17.50 
4.33 ,4.25 ,4.50 ,4.00 ,4.00 ,4.67 ,4.50 ,3.00 ,4.00 ,4.50 ,4.25 ,5.00 ,12.75 ,20.25 ,21.00 ,12.75 ,19.13 ,19.83 
2.67 ,3.25 ,2.25 ,2.00 ,2.33 ,4.00 ,2.75 ,3.33 ,2.75 ,2.25 ,2.00 ,3.00 ,6.67 ,6.19 ,9.00 ,6.67 ,5.50 ,8.00 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,3.33 ,5.00 ,5.00 ,5.00 ,5.00 ,16.67 ,25.00 ,25.00 ,16.67 ,25.00 ,25.00 
5.00 ,5.00 ,5.00 ,5.00 ,2.67 ,5.00 ,4.00 ,2.00 ,3.75 ,4.00 ,4.50 ,4.75 ,9.00 ,16.00 ,20.00 ,9.00 ,18.00 ,22.50 
4.67 ,4.75 ,5.00 ,3.50 ,3.67 ,5.00 ,5.00 ,4.33 ,1.75 ,4.75 ,4.00 ,4.75 ,17.33 ,23.75 ,23.75 ,17.33 ,20.00 ,20.00 
